P_ID,Type,Block,Date,Weight_g,Fruits_N
1,JA,1,7/11/22,0,0
2,C,1,7/11/22,476.4,2
3,SA,1,7/11/22,0,0
4,SA,2,7/11/22,0,0
5,JA,2,7/11/22,0,0
6,C,2,7/11/22,NA,NA
7,JA,3,7/11/22,588.9,1
8,C,3,7/11/22,0,0
9,SA,3,7/11/22,207.7,1
10,JA,4,7/11/22,NA,NA
11,C,4,7/11/22,686.5,2
12,SA,4,7/11/22,0,0
13,JA,5,7/11/22,NA,NA
14,SA,5,7/11/22,NA,NA
15,C,5,7/11/22,0,0
16,SA,6,7/11/22,0,0
17,C,6,7/11/22,NA,NA
18,JA,6,7/11/22,701.4,2
19,JA,7,7/11/22,0,0
20,SA,7,7/11/22,163,1
21,C,7,7/11/22,208.9,1
22,C,8,7/11/22,0,0
23,SA,8,7/11/22,0,0
24,JA,8,7/11/22,0,0
25,JA,9,7/11/22,232.2,1
26,SA,9,7/11/22,0,0
27,C,9,7/11/22,569.6,2
28,SA,10,7/11/22,516.3,1
29,C,10,7/11/22,0,0
30,JA,10,7/11/22,614.5,2
31,SA,11,7/11/22,339,1
32,JA,11,7/11/22,649.9,2
33,C,11,7/11/22,630.8,2
34,C,12,7/11/22,500.2,2
35,SA,12,7/11/22,0,0
36,JA,12,7/11/22,529.7,2
37,SA,13,7/11/22,0,0
38,C,13,7/11/22,271.7,1
39,JA,13,7/11/22,0,0
40,JA,14,7/11/22,613.3,1
41,C,14,7/11/22,400.2,1
42,SA,14,7/11/22,0,0
43,C,15,7/11/22,0,0
44,SA,15,7/11/22,155.8,1
45,JA,15,7/11/22,1026.5,3
46,C,16,7/11/22,955.2,2
47,JA,16,7/11/22,748.9,2
48,SA,16,7/11/22,0,0
49,C,17,7/11/22,1015.2,3
50,SA,17,7/11/22,0,0
51,JA,17,7/11/22,720.7,2
52,C,18,7/11/22,0,0
53,SA,18,7/11/22,237.1,1
54,JA,18,7/11/22,137.6,1
55,JA,19,7/11/22,907.2,2
56,C,19,7/11/22,270.8,1
57,SA,19,7/11/22,419.4,2
58,JA,20,7/11/22,372.6,1
59,C,20,7/11/22,138.4,1
60,SA,20,7/11/22,621.8,2
1,JA,1,7/20/22,1732.9,2
2,C,1,7/20/22,1732.2,3
3,SA,1,7/20/22,562.2,1
4,SA,2,7/20/22,363.2,1
5,JA,2,7/20/22,889,1
6,C,2,7/20/22,NA,NA
7,JA,3,7/20/22,994.8,1
8,C,3,7/20/22,884.7,1
9,SA,3,7/20/22,610.2,1
10,JA,4,7/20/22,NA,NA
11,C,4,7/20/22,372.1,1
12,SA,4,7/20/22,381.1,1
13,JA,5,7/20/22,NA,NA
14,SA,5,7/20/22,NA,NA
