P_ID,Type,Block,Date,Height_cm,L_0%,L_1-5%,L_5-25%,L_26-50%,L_51-75%,L_76-99%,L_100%,Herbivory,Leaves_N,Mortality
1,JA,1,7/26/22,53.34,8,11,2,1,0,7,0,29,29,
2,C,1,7/26/22,48.26,6,11,0,1,5,0,0,21,23,
3,SA,1,7/26/22,38.1,6,7,2,1,3,0,0,19,19,
4,SA,2,7/26/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead
5,JA,2,7/26/22,40.64,3,8,0,7,0,0,0,22,18,
6,C,2,7/26/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead
7,JA,3,7/26/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead
8,C,3,7/26/22,45.72,4,11,0,6,0,0,0,17,21,
9,SA,3,7/26/22,53.34,4,20,0,2,1,2,1,19,30,
10,JA,4,7/26/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead
11,C,4,7/26/22,38.1,3,3,10,0,0,0,0,17,16,
12,SA,4,7/26/22,33.02,4,7,0,5,0,0,0,18,16,
13,JA,5,7/26/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead
14,SA,5,7/26/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead
15,C,5,7/26/22,35,3,0,6,0,8,0,0,44,17,
16,SA,6,7/26/22,0,1,0,6,1,0,0,0,25,8,
17,C,6,7/26/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead
18,JA,6,7/26/22,43,5,0,6,7,0,0,0,28,18,
19,JA,7,7/26/22,44,5,10,1,5,2,0,0,21,23,
20,SA,7,7/26/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead
21,C,7,7/26/22,54,6,20,4,1,0,0,0,8,31,
22,C,8,7/26/22,36,4,16,0,0,0,0,0,4,20,
23,SA,8,7/26/22,38,1,0,0,0,1,16,0,92,18,
24,JA,8,7/26/22,50,8,16,5,0,0,0,0,7,29,
25,JA,9,7/26/22,53,4,18,0,2,0,0,0,8,24,
26,SA,9,7/26/22,48,7,16,0,0,0,0,0,3,23,
27,C,9,7/26/22,54,0,5,0,0,10,2,0,57,17,
28,SA,10,7/26/22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dead
29,C,10,7/26/22,26,3,10,0,0,0,0,0,4,13,
30,JA,10,7/26/22,47,7,29,0,0,0,0,0,4,36,
31,SA,11,7/26/22,38,4,9,4,5,1,0,0,20,23,
