P_ID,Type,Block,Fresh_weight_g,Dry_weight_g
1,JA,1,222,132.6
2,C,1,238.9,132.1
3,SA,1,NA,NA
4,SA,2,NA,NA
5,JA,2,119.4,69.5
6,C,2,NA,NA
7,JA,3,116.5,70.3
8,C,3,314.2,108.1
9,SA,3,216.7,128.7
10,JA,4,NA,NA
11,C,4,105.3,61.3
12,SA,4,84,62
13,JA,5,NA,NA
14,SA,5,NA,NA
15,C,5,79.6,56.3
16,SA,6,61,50.8
17,C,6,NA,NA
18,JA,6,205.3,117.1
19,JA,7,94.5,70.6
20,SA,7,NA,NA
21,C,7,444.8,150.9
22,C,8,56.8,62.9
23,SA,8,74.2,52.6
24,JA,8,925,204.5
25,JA,9,909.3,179.2
26,SA,9,159.7,101.9
27,C,9,259.2,103.2
28,SA,10,96.5,71.5
29,C,10,56.4,43.7
30,JA,10,1036.9,242.3
31,SA,11,100.4,77.4
32,JA,11,146.9,107.7
33,C,11,177.3,112.6
34,C,12,66.4,48.5
35,SA,12,,
36,JA,12,559.1,155.6
37,SA,13,228.5,89.5
38,C,13,145.6,93.4
39,JA,13,NA,NA
40,JA,14,738.3,175.5
41,C,14,180.5,91.4
42,SA,14,NA,NA
43,C,15,NA,NA
44,SA,15,NA,NA
45,JA,15,120.2,79.3
46,C,16,113.2,82.4
47,JA,16,169.6,117.5
48,SA,16,115.3,69.6
49,C,17,344.3,145.5
50,SA,17,84.6,62.6
51,JA,17,244.3,125.9
52,C,18,NA,NA
53,SA,18,435.3,218.2
54,JA,18,89.9,71.4
55,JA,19,1544,391.6
56,C,19,1055.1,222
57,SA,19,391.9,134.7
58,JA,20,313.2,152.9
59,C,20,108.1,77.7
60,SA,20,390.9,111.1
